GenConBlf,VacConBlf,InfoPros_Analytic,InfoPros_Experiential,Aff_MMR,Aff_Cov,RskMsl,RskCov,RskMmrVac,RskCovVac,BnfMmrVac,BnfCovVac,VacIntMMR,VacIntCOV_Child,VacIntCOV_Self,HstMMR_inconfidence,HstMMR_risk,HstCov_risk,HstCov_inconfidence,AttdMMRVac,AttdMeasles,AttdCovVac,AttdCov19,SbjNrmMMR,BhvCtrlMMR,SbjNrmCov,BhvCtrlCov,Condition,Fact_others,Narrative_others,Hybrid_others,CaseNum,Progress,Duration__in_seconds_,Gender,Gender_5_TEXT,Ethnicity,Race,Race_7_TEXT,Religion,Religion_8_TEXT,PolIdeo,SlfPolIdeo,SlfPolIdeo_4_TEXT,age,marital,ChildNum,ChildNum_6_TEXT,ChildGen,ChildGen_1_TEXT,ChildGen_2_TEXT,ChildGen_3_TEXT,Income,Edu,Employ,States,Random_ID
2.666666667,2.428571429,1.8,3.4,2,2,1,3,2,3,2,3,2,1.5,2.5,3.428571429,3,2.5,3.428571429,2.5,2.8,2.5,2.8,3,3.5,3,2,Control,0,0,0,19,99,237,Female, ,NOT Hispanic or Latino or Spanish origin,Black or African American, ,Catholicism/Christianity, ,Conservative,Independents, ,21-30 years old,Separated,1, ,Female, , , ,"$10,000 - $19,999",High school degree or equivalent (e.g. GED),Self-employed,Ohio,75906
2.733333333,4.714285714,7,1.2,1,1,4,2,4,4,1,1,1,1,1, , , , , , , , , , , , ,Control,0,0,0,20,54,244, , , , , , , , , , , , , , , , , , , , , , ,56837
2.866666667,3.428571429,4.8,2,3,1,3,3,3,4,4,1,2.5,2,1,2.571428571,3,3,3.571428571,2.833333333,3.2,3.166666667,1.4,2.5,4,3.5,2.5,Fact,1,0,0,21,100,277,Female, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Catholicism/Christianity, ,Very conservative,Republicans, ,31-40 years old,Married,1, ,Male,1, , ,"$90,000 - $99,999","Bachelor's degree (e.g. BA, BS)",Employed full time (40 or more hours per week),Alabama,10114
4,4.285714286,4.6,3.4,2,2,4,2,4,4,2,2,1,1.5,2,3.142857143,4.5,4.5,3.428571429,2.833333333,3.8,2.166666667,2.8,3,3,3,3.5,Narrative,0,1,0,22,100,278,Male, ,NOT Hispanic or Latino or Spanish origin,Asian, ,Buddism, ,Conservative,Republicans, ,21-30 years old,Married,1, ,Male,1, , ,"$50,000 - $59,999","Bachelor's degree (e.g. BA, BS)",Employed full time (40 or more hours per week),California,8328
3,3.285714286,5.2,4.4,3,4,2,4,2,3,3,4,2,3,3.5,3,3.5,2.5,2.714285714,3.5,2.6,2.666666667,3.4,3.5,2,3.5,3,Hybrid,0,0,1,23,100,281,Male, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Catholicism/Christianity, ,Liberal,Democrats, ,21-30 years old,Partnered,1, ,Male,1, , ,"$30,000 - $39,999",High school degree or equivalent (e.g. GED),Employed full time (40 or more hours per week),Texas,42382
3.866666667,4.285714286,3.4,5.5,3,4,4,4,4,1,2,4,3,4,3,2.857142857,3.5,2.5,2.666666667,2.833333333,3,3,2.4,3,2.5,3,4,Narrative,0,1,0,24,100,286,Female, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Catholicism/Christianity, ,Neither liberal nor conservative,Independents, ,21-30 years old,Partnered,1, ,Female, ,4, ,"$90,000 - $99,999","Bachelor's degree (e.g. BA, BS)",Employed full time (40 or more hours per week),Mississippi,31475
4.533333333,4.714285714,5.8,5.2,2,1,1,2,3,4,1,1,1,1,1,4.857142857,5,1,4.571428571,2.666666667,1.8,1.833333333,1.6,2,1,1,3.5,Control,0,0,0,25,100,304,Female, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Catholicism/Christianity, ,Very conservative,Republicans, ,31-40 years old,Married,1, ,Male,1, , ,"$20,000 - $29,999","Some college, no degree",Unemployed and not currently looking for work,Alabama,27190
3.866666667,4,6,5.4,5,4,2,2,4,4,3,4,4.5,4.5,4.5,1.857142857,3.5,4.5,1.428571429,2.5,3.8,3,3.4,5,4,5,4.5,Control,0,0,0,26,100,309,Male, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Catholicism/Christianity, ,Conservative,Democrats, ,21-30 years old,Married,1, ,Male,1, , ,"$30,000 - $39,999","Master's degree (e.g., MA, MS, MEd)",Employed full time (40 or more hours per week),Florida,20204
3,3,3.8,3.4,3,4,3,3,3,3,4,2,2.5,2.5,2,3.571428571,1,4,3.571428571,3.5,3.2,2.666666667,3,2.5,2.5,3.5,4,Control,0,0,0,27,100,324,Male, ,NOT Hispanic or Latino or Spanish origin,Black or African American, ,Catholicism/Christianity, ,Neither liberal nor conservative,Independents, ,21-30 years old,Partnered,1, ,Female, , , ,"$40,000 - $49,999","Bachelor's degree (e.g. BA, BS)",Employed part time (up to 30 hours per week),California,44811
4,4.571428571,6,2.6,2,2,1,2,3,3,2,2,1,1,1,4,3.5,4,4.714285714,3.666666667,1.6,2.833333333,3.6,4.5,4,2,3,Hybrid,0,0,1,28,100,331,Female, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Agnostic, ,Liberal,Democrats, ,31-40 years old,Partnered,2, ,Female, ,1, ,"$20,000 - $29,999","Bachelor's degree (e.g. BA, BS)",Employed full time (40 or more hours per week),Illinois,45112
3,3,2.6,2.8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,Hybrid,0,0,1,29,100,347,Male, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Agnostic, ,Liberal,Democrats, ,21-30 years old,Partnered,3, ,Male, , , ,"$40,000 - $49,999","Master's degree (e.g., MA, MS, MEd)",Employed full time (40 or more hours per week),Illinois,83875
3.866666667,3.571428571,5.6,5.6,5,5,4,2,3,4,4,5,3.5,4.5,3,2.285714286,3, , , , , , , , , , ,Hybrid,0,0,1,30,61,350, , , , , , , , , , , , , , , , , , , , , , ,98792
3.6,4.571428571,5.4,5.8,4,4,4,4,4,4,4,4,4,4,4,1.571428571,4,4,1.571428571,2.333333333,4,2.166666667,3.6,5,5,4,4.5,Control,0,0,0,31,100,357,Female, ,NOT Hispanic or Latino or Spanish origin,Black or African American, ,Catholicism/Christianity, ,Conservative,Democrats, ,21-30 years old,Married,1, ,Male, , , ,"$10,000 - $19,999","Bachelor's degree (e.g. BA, BS)",Employed full time (40 or more hours per week),Texas,20380
